mentee_id	name	no_1	no_2	no_3	no_4	no_5	degree	mentor_response	email	note
M001	name0	A08	A43	A49	A26	A67	MSc		mentee0@email.com	
M002	name1	B12	E01	E25	E20	E12	MSc		mentee1@email.com	
M003	name2	A60	A46	A15	A39	E21	MSc		mentee2@email.com	
M004	name3	E20	E18	E01	E12	E25	MSc		mentee3@email.com	
M005	name4	E30	E01	E22	E17	E25	MSc		mentee4@email.com	
M006	name5	E30	E22	E25	E18	E35	MSc		mentee5@email.com	
M007	name6	E25	E27	E29	E18	E01	MSc		mentee6@email.com	
M008	name7	D18	B24	D10			MSc		mentee7@email.com	
M009	name8	A67	A43	A52	A66	A53	MSc		mentee8@email.com	
M010	name9	E33	B39	E29	E27	B42	MSc		mentee9@email.com	
M011	name10	E18	E25	E01	E12	E21	MSc		mentee10@email.com	
M012	name11	E21	E27	E25	E13	E33	MSc		mentee11@email.com	
M013	name12	B39	B01	B06	B18	B23	MSc		mentee12@email.com	
M014	name13	E01	E25	E12	E20	E33	MSc		mentee13@email.com	
M015	name14	A43	A67	A20	A26	A66	MSc		mentee14@email.com	
M016	name15	E20	E11				MSc		mentee15@email.com	
M017	name16	A01	A02	A03	A04	A05	MSc		mentee16@email.com	
M018	name17	E12	A47	A56	A49	E13	MSc		mentee17@email.com	
M019	name18	E18	E20	E01	E25	E21	MSc		mentee18@email.com	
M020	name19	E29	E33	E34	E32	E27	MSc		mentee19@email.com	
M021	name20	B32	B48	B16	B01	B44	MSc		mentee20@email.com	
M022	name21	A45	A07	A59	A38	A51	MSc		mentee21@email.com	
M023	name22	A15	A39	A58	A66	A42	MSc		mentee22@email.com	
M024	name23	A67	A43	A48	A06	A33	MSc		mentee23@email.com	
M025	name24	E29	E30	E01	C13	E35	MSc		mentee24@email.com	
M026	name25	D09	D02	D22	D13	D01	MSc		mentee25@email.com	
M027	name26	E29	E01	A43	E18	E20	MSc		mentee26@email.com	
M028	name27	A43	A67	A47	A38	A48	MSc		mentee27@email.com	
M029	name28	A25	A23	A24	A26	A27	MSc		mentee28@email.com	
M030	name29	E01	E25	E19	E22	E17	MSc		mentee29@email.com	
M031	name30	E01	E12	E18	E25	E20	MSc		mentee30@email.com	
M032	name31	E20	E18	E25	E12	E01	MSc		mentee31@email.com	
M033	name32	E29	E28	E05	E27	E25	MSc		mentee32@email.com	
M034	name33	B01	C11	B42	B41	B57	MSc		mentee33@email.com	
M035	name34	B32	B01	B39	B49	B08	MSc		mentee34@email.com	
M036	name35	E12	E01	E20	E18	E13	MSc		mentee35@email.com	
M037	name36	A36	A34	A37	A33	A04	MSc		mentee36@email.com	
M038	name37	A16	A65	A31	A06	A07	MSc		mentee37@email.com	
M039	name38	B39	B14	E08	B06	B34	MSc		mentee38@email.com	
M040	name39	A46	A02	A61	A64	A65	MSc		mentee39@email.com	
M041	name40	B53	D13	D09	D22	A18	MSc		mentee40@email.com	
M042	name41	A43	A67	A48	A54	A46	MSc		mentee41@email.com	
M043	name42	E28	E29	E27	E05	E10	MSc		mentee42@email.com	
M044	name43	E20	E12	E18	E13	E01	MSc		mentee43@email.com	
M045	name44	A43	A66	A67	A42	A52	MSc		mentee44@email.com	
M046	name45	D13	D08	D09	D01	D02	MSc		mentee45@email.com	
M047	name46	E35	E33	E34	E16	E32	MSc		mentee46@email.com	
M048	name47	A05	A36	A54			MSc		mentee47@email.com	
M049	name48	A18	A41	E20	A64	A15	MSc		mentee48@email.com	
M050	name49	E27	E33	E16	E29	E20	MSc		mentee49@email.com	
M051	name50	E01	E12	E13	E18	E25	MSc		mentee50@email.com	
M052	name51	A07	A16	A15	A31	A67	MSc		mentee51@email.com	
M053	name52	A43	A67	A42	A66	A05	MSc		mentee52@email.com	
M054	name53	A67	A66	A43	A50	A49	MSc		mentee53@email.com	
M055	name54	A60	A64				MSc		mentee54@email.com	
M056	name55	A01		A07	A16	A10	MSc		mentee55@email.com	
M057	name56	E29	E21	E08	E16	E27	MSc		mentee56@email.com	
M058	name57	A30	A42	B55	A16	D01	MSc		mentee57@email.com	
M059	name58	A43	A66	A67	A52	A53	MSc		mentee58@email.com	
M060	name59	E01	E25	E27	E18	E12	MSc		mentee59@email.com	
M061	name60	A22	A57	A18	A44	A54	MSc		mentee60@email.com	
M062	name61	E21	E20	E18	E25	E27	MSc		mentee61@email.com	
M063	name62	C07	C11	C12	C03	C02	MSc		mentee62@email.com	
M064	name63	E18	E19	E21	E22	E25	MSc		mentee63@email.com	
M065	name64	E01	E25	E18	E12	E20	MSc		mentee64@email.com	
M066	name65	E12	E01	E25	E18	E20	MSc		mentee65@email.com	
M067	name66	A36	A56	A35			MSc		mentee66@email.com	
M068	name67	E20	E25	E18	E12	E13	MSc		mentee67@email.com	
M069	name68	A38	A44	A09	A06	A10	MSc		mentee68@email.com	
M070	name69	B01	E26	B48	E01	E06	MSc		mentee69@email.com	
M071	name70	E01	E13	E19	E18	E25	MSc		mentee70@email.com	
M072	name71	A67	A43	A52	A24	A66	MSc		mentee71@email.com	
M073	name72	E25	E12	E20	E01	E18	MSc		mentee72@email.com	
M074	name73	E25	E29	E01	E12	E33	MSc		mentee73@email.com	
M075	name74	C20	E16	C28	B14	C03	MSc		mentee74@email.com	
M076	name75	A43	A67	A26	A47	A20	MSc		mentee75@email.com	
M077	name76	C14	A18	B34	B13	C01	MSc		mentee76@email.com	
M078	name77	E18	E22	E21	E19	E20	MSc		mentee77@email.com	
M079	name78	A07	A16	A08	A15	A01	MSc		mentee78@email.com	
M080	name79	B46	D16	B59	B49	B48	MSc		mentee79@email.com	
M081	name80	C28	C30	E13	E05	C17	MSc		mentee80@email.com	
M082	name81	A55	A64	A60	A40		MSc		mentee81@email.com	
M083	name82	E20	E01	E12	E06	E21	MSc		mentee82@email.com	
M084	name83	E27	E21	E12	E13	E18	MSc		mentee83@email.com	
M085	name84	A59	A45	A44	B58	A08	MSc		mentee84@email.com	
M086	name85	D03	D12	D09	D05	D06	MSc		mentee85@email.com	
M087	name86	E21	E12	E13	E18	E20	MSc		mentee86@email.com	
M088	name87	B15	B39	B45	B55	D04	MSc		mentee87@email.com	
P001	name88	B39	B46	B47	B54	B17	PhD		mentee88@email.com	
P002	name89	B12	B04	B07	B16	B53	PhD		mentee89@email.com	
P003	name90	A09	A13	C26		A10	PhD		mentee90@email.com	
P004	name91	B12	B04	B55	B38	B40	PhD		mentee91@email.com	
P005	name92	A26	A23	A40	A33	A34	PhD		mentee92@email.com	
P006	name93	B04	B16	B11	B32	B30	PhD		mentee93@email.com	
P007	name94	E12	E01	A47	E25	E04	PhD		mentee94@email.com	
P008	name95	A06	A56	A15	A58	A39	PhD		mentee95@email.com	
P009	name96	E22	E18	A15	A57	A22	PhD		mentee96@email.com	
P010	name97	B59	B40	B42	B36	B43	PhD		mentee97@email.com	
P011	name98	A13	B07	B46	B53	B54	PhD		mentee98@email.com	
P012	name99	C05	C04	C03	C10	C02	PhD		mentee99@email.com	
P013	name100	E22	E01	E18	E25	E19	PhD		mentee100@email.com	
P014	name101	B39	D20	B14	B21	B06	PhD		mentee101@email.com	
P015	name102	B18	A41	C16	D14	D18	PhD		mentee102@email.com	
P016	name103	A56	A47	E12			PhD		mentee103@email.com	
P017	name104	A07	A45	A28	A30	A29	PhD		mentee104@email.com	
P018	name105	D04	D06	B05	D05	B23	PhD		mentee105@email.com	
P019	name106	B55	B40	B31	B38	B44	PhD		mentee106@email.com	
P020	name107	D12	A30	A42	A07	D11	PhD		mentee107@email.com	
P021	name108	B40	B44	B16	B11	B20	PhD		mentee108@email.com	
P022	name109	B12	B16	B54	B17	B43	PhD		mentee109@email.com	
P023	name110	B20	B11	B14	B07	B12	PhD		mentee110@email.com	
P024	name111	D18	B24	D10	B09	B21	PhD		mentee111@email.com	
P025	name112	B03	B02	B04	B01	B06	PhD		mentee112@email.com	
P026	name113	D06	D04	B39	B38	B37	PhD		mentee113@email.com	
P027	name114	E07	E09	E02	E28	E35	PhD		mentee114@email.com	
P028	name115	E35	E29	E28	E30	E27	PhD		mentee115@email.com	
P029	name116	B19	B32	B45	B51	B13	PhD		mentee116@email.com	
P030	name117	C14	D01	D02	E20	A64	PhD		mentee117@email.com	
P031	name118	E11	E20	E08	E16	E31	PhD		mentee118@email.com	
P032	name119	B30	B40	B43	B29	B42	PhD		mentee119@email.com	
P033	name120	A10	A12	A06	A07	A14	PhD		mentee120@email.com	
P034	name121	B44	B10	B27	B50	B07	PhD		mentee121@email.com	
P035	name122	B40	B55	B41	B42	B31	PhD		mentee122@email.com	
