mentor_id,email,name,review_info,capacity_PhD,capacity_MSc,assigned_PhD,assigned_MSc,MSc: no_1,MSc: no_2,MSc: no_3,MSc: no_4,MSc: no_5,PhD: no_1,PhD: no_2,PhD: no_3,PhD: no_4,PhD: no_5,combined_mentor_id,verification_code
A01,mentor0@email.com,name0,True,2,2,4,3,"['M017', 'M056']",,,,['M079'],"['P077', 'P094', 'P126']",,,['P073'],,,
A02,mentor1@email.com,name1,True,6,3,5,2,,"['M017', 'M040']",,,,"['P085', 'P089', 'P133']",,['P060'],,['P051'],,
A03,mentor2@email.com,name2,True,1,0,2,1,,,['M017'],,,,,['P089'],['P091'],,,
A04,mentor3@email.com,name3,False,1,0,1,2,,,,['M017'],['M037'],,,,,['P091'],,
A05,mentor4@email.com,name4,True,1,0,1,3,['M048'],,,,"['M017', 'M053']",['P047'],,,,,,
A06,mentor5@email.com,name5,True,1,0,6,3,,,,"['M024', 'M038', 'M069']",,['P008'],"['P077', 'P128']",['P033'],['P058'],['P126'],,
A07,mentor6@email.com,name6,True,3,3,6,5,"['M052', 'M079']",['M022'],['M056'],,['M038'],['P017'],['P075'],['P126'],"['P020', 'P033', 'P077']",,,
A08,mentor7@email.com,name7,False,2,0,1,3,['M001'],,['M079'],,['M085'],,,['P058'],,,,
A09,mentor8@email.com,name8,False,3,2,4,1,,,['M069'],,,"['P003', 'P073', 'P082']",,,['P065'],,,
A10,mentor9@email.com,name9,True,2,0,4,2,,,,,"['M056', 'M069']",['P033'],,"['P075', 'P128']",,['P003'],,
A11,mentor10@email.com,name10,True,1,0,4,0,,,,,,['P075'],,,,"['P073', 'P077', 'P128']",,
A12,mentor11@email.com,name11,False,2,0,5,0,,,,,,"['P058', 'P128']",['P033'],['P077'],,['P065'],,
A13,mentor12@email.com,name12,False,1,2,4,0,,,,,,['P011'],['P003'],['P084'],,['P058'],,
A14,mentor13@email.com,name13,False,2,0,5,0,,,,,,,['P073'],,"['P126', 'P128']","['P033', 'P075']",,
A15,mentor14@email.com,name14,True,1,1,7,5,['M023'],,"['M003', 'M052']",['M079'],['M049'],['P080'],"['P058', 'P067']","['P008', 'P009', 'P073']",,['P082'],,
A16,mentor15@email.com,name15,False,0,3,1,5,['M038'],"['M052', 'M079']",,"['M056', 'M058']",,,['P126'],,,,,
A18,mentor16@email.com,name16,True,2,4,4,4,['M049'],['M077'],['M061'],,['M041'],,,['P085'],['P051'],"['P109', 'P133']",,
A19,mentor17@email.com,name17,True,1,0,2,0,,,,,,,"['P051', 'P060']",,,,,
A20,mentor18@email.com,name18,False,1,1,1,2,,,['M015'],,['M076'],['P113'],,,,,,
A22,mentor19@email.com,name19,True,2,0,1,1,['M061'],,,,,,,,,['P009'],,
A23,mentor20@email.com,name20,True,3,3,1,1,,['M029'],,,,,['P005'],,,,,
A24,mentor21@email.com,name21,False,3,3,0,2,,,['M029'],['M072'],,,,,,,,
A25,mentor22@email.com,name22,True,0,2,0,1,['M029'],,,,,,,,,,,
A26,mentor23@email.com,name23,False,2,2,1,4,,,['M076'],"['M001', 'M015', 'M029']",,['P005'],,,,,,
A27,mentor24@email.com,name24,True,10,10,0,1,,,,,['M029'],,,,,,,
A28,mentor25@email.com,name25,True,1,0,2,0,,,,,,,['P065'],['P017'],,,,
A29,mentor26@email.com,name26,True,2,2,3,0,,,,,,,,['P065'],['P075'],['P017'],,
A30,mentor27@email.com,name27,True,3,5,3,1,['M058'],,,,,['P065'],['P020'],,['P017'],,,
A31,mentor28@email.com,name28,True,2,3,1,2,,,['M038'],['M052'],,,,,['P067'],,,
A32,mentor29@email.com,name29,True,2,1,2,0,,,,,,,,['P067'],['P089'],,,
A33,mentor30@email.com,name30,False,4,5,3,2,,,,['M037'],['M024'],['P069'],,,"['P005', 'P043']",,,
A34,mentor31@email.com,name31,True,1,2,6,1,,['M037'],,,,"['P067', 'P109']",['P089'],,['P069'],"['P005', 'P043']",,
A35,mentor32@email.com,name32,True,2,0,3,1,,,['M067'],,,,"['P069', 'P109']",['P043'],,,,
A36,mentor33@email.com,name33,True,3,0,4,3,"['M037', 'M067']",['M048'],,,,,"['P043', 'P047']",['P109'],,['P069'],,
A37,mentor34@email.com,name34,True,2,0,2,1,,,['M037'],,,['P043'],,['P069'],,,,
A38,mentor35@email.com,name35,True,2,2,0,3,['M069'],,,"['M022', 'M028']",,,,,,,,
A39,mentor36@email.com,name36,False,1,2,2,2,,['M023'],,['M003'],,,,,['P109'],['P008'],,
A40,mentor37@email.com,name37,True,1,1,5,1,,,,['M082'],,,,"['P005', 'P047', 'P094']","['P095', 'P133']",,,
A41,mentor38@email.com,name38,True,3,3,1,1,,['M049'],,,,,['P015'],,,,,
A42,mentor39@email.com,name39,True,2,2,2,4,,['M058'],['M053'],['M045'],['M023'],,['P135'],['P020'],,,,
A43,mentor40@email.com,name40,False,0,1,1,13,"['M015', 'M028', 'M042', 'M045', 'M053', 'M059', 'M076']","['M001', 'M009', 'M024', 'M072']","['M027', 'M054']",,,,,['P113'],,,,
A44,mentor41@email.com,name41,False,2,0,1,3,,['M069'],['M085'],['M061'],,,,,,['P047'],,
A45,mentor42@email.com,name42,True,0,2,2,2,['M022'],['M085'],,,,,['P017'],,['P047'],,,
A46,mentor43@email.com,name43,True,0,1,1,3,['M040'],['M003'],,,['M042'],,,,['P094'],,,
A47,mentor44@email.com,name44,True,1,1,4,3,,['M018'],['M028'],['M076'],,,"['P016', 'P113']",['P007'],,['P084'],,
A48,mentor45@email.com,name45,True,1,1,0,3,,,"['M024', 'M042']",,['M028'],,,,,,,
A49,mentor46@email.com,name46,False,1,2,0,3,,,['M001'],['M018'],['M054'],,,,,,,
A50,mentor47@email.com,name47,True,2,1,0,1,,,,['M054'],,,,,,,,
A51,mentor48@email.com,name48,True,1,1,1,1,,,,,['M022'],,['P091'],,,,,
A52,mentor49@email.com,name49,True,5,5,2,4,,,"['M009', 'M072']",['M059'],['M045'],['P091'],,,['P085'],,,
A53,mentor50@email.com,name50,True,2,2,1,2,,,,,"['M009', 'M059']",,,['P091'],,,,
A54,mentor51@email.com,name51,False,1,1,0,3,,,['M048'],['M042'],['M061'],,,,,,,
A55,mentor52@email.com,name52,True,2,1,2,1,['M082'],,,,,"['P051', 'P060']",,,,,,
A56,mentor53@email.com,name53,True,2,1,3,2,,['M067'],['M018'],,,['P016'],"['P008', 'P094']",,,,,
A57,mentor54@email.com,name54,True,1,0,3,1,,['M061'],,,,,,,"['P009', 'P107']",['P080'],,
A58,mentor55@email.com,name55,False,2,1,2,1,,,['M023'],,,,,['P080'],['P008'],,,
A59,mentor56@email.com,name56,False,1,1,1,2,['M085'],,['M022'],,,,['P080'],,,,,
A60,mentor57@email.com,name57,True,0,1,0,3,"['M003', 'M055']",,['M082'],,,,,,,,,
A61,mentor58@email.com,name58,True,2,2,2,1,,,['M040'],,,,,['P133'],['P060'],,,
A62,mentor59@email.com,name59,False,3,1,2,0,,,,,,,['P133'],,,['P067'],,
A64,mentor60@email.com,name60,False,3,3,5,4,,"['M055', 'M082']",,"['M040', 'M049']",,,,['P051'],,"['P030', 'P060', 'P089', 'P094']",,
A65,mentor61@email.com,name61,True,2,2,0,2,,['M038'],,,['M040'],,,,,,,
A66,mentor62@email.com,name62,True,1,1,1,8,,"['M045', 'M054', 'M059']",,"['M009', 'M023', 'M053']","['M015', 'M072']",['P140'],,,,,,
A67,mentor63@email.com,name63,True,2,2,1,13,"['M009', 'M024', 'M054', 'M072']","['M015', 'M028', 'M042', 'M053', 'M076']","['M045', 'M059']",,"['M001', 'M052']",,,,['P113'],,,
B01,mentor64@email.com,name64,False,0,2,2,5,"['M034', 'M070']","['M013', 'M035']",,['M021'],,['P052'],,,['P025'],,,
B02,mentor65@email.com,name65,True,2,0,1,0,,,,,,,['P025'],,,,,
B03,mentor66@email.com,name66,True,2,0,7,0,,,,,,"['P025', 'P046']",,"['P083', 'P097', 'P137']","['P039', 'P142']",,,
