Timestamp,Email Address,請輸入導師您的中文姓名,"碩班申請導生

如果有碩班申請者 想成為你的導生， 請依意願序，以半形空白分隔，填入願意指導學生的姓名。
例如：李白 杜甫","博班申請導生

如果有博班申請者 想成為你的導生， 請依意願序，以半形空白分隔，填入願意指導學生的姓名。
例如：蔡依林 林柏宏 陳奕迅 ",如有不指導的學生，請提供原因 。例如：申請領域不熟悉、無法收太多學生等等。,mentee_MSc,mentee_PhD,note,check_value,email
6/19/2023 2:37:10,,name81,,,,name12,name102 name207,,0.0,mentor0@email.com
6/19/2023 2:37:34,,name39,,,,name222 name57,name222,,0.0,mentor1@email.com
6/19/2023 2:38:58,,name20,,,,name28,name92,,0.0,mentor2@email.com
6/19/2023 2:40:53,,name24,,,,name28,,,0.0,mentor3@email.com
6/19/2023 2:43:24,,name85,,,,,name179 name150 name170 name177 name105 name12 name186 name232 name159 ,,0.0,mentor4@email.com
6/19/2023 2:48:51,,name136,,,,,name102 name142,,1.0,mentor5@email.com
6/19/2023 2:51:06,,name2,,,,,name176 name178,,0.0,mentor6@email.com
6/19/2023 3:05:13,,name9,,,,,name120,,1.0,mentor7@email.com
6/19/2023 3:05:53,,name167,,,,name7,name111,,0.0,mentor8@email.com
6/19/2023 3:05:58,,name89,,,,name208,name208 name230,,0.0,mentor9@email.com
6/19/2023 3:15:52,,name112,,,,,name135 name116,,1.0,mentor10@email.com
6/19/2023 3:28:34,,name57,,,,name54,,,0.0,mentor11@email.com
6/19/2023 3:32:17,,name79,,,,,name108 name129 name109,,0.0,mentor12@email.com
6/19/2023 3:34:34,,name132,,,,,name231 name206 name123,,1.0,mentor13@email.com
6/19/2023 3:44:31,,name104,,,,,name157 name97 name119 name217 ,,0.0,mentor14@email.com
6/21/2023 20:09:17,,name135,,,,,name142,,0.0,mentor15@email.com
6/19/2023 4:04:17,,name17,,,,,name138 name147,,0.0,mentor16@email.com
6/19/2023 4:11:18,,name105,,,,,name210 name186 name106 name121,,0.0,mentor17@email.com
6/19/2023 4:20:32,,name70,,,,,name127 name173 name223 name169 name89 name98 name158,,0.0,mentor18@email.com
6/19/2023 4:28:24,,name19,,,,,,,0.0,mentor19@email.com
6/19/2023 4:44:45,,name1,,,,,name176 name220 name147 name138 ,,0.0,mentor20@email.com
6/19/2023 4:51:52,,name111,,,,,name121 name210,,0.0,mentor21@email.com
6/19/2023 4:58:48,,name204,,,,,name124,,0.0,mentor22@email.com
6/19/2023 5:09:56,,name26,,,,,name152,,0.0,mentor23@email.com
6/19/2023 5:15:33,,name90,,,,,name233,,0.0,mentor24@email.com
6/19/2023 5:18:17,,name139,,,,,name175 name199,,0.0,mentor25@email.com
6/19/2023 5:24:08,,name16,,,,name48,name196 name138 name220,,0.0,mentor26@email.com
6/19/2023 5:25:33,,name109,,,,name20 name69 name79,name198,,0.0,mentor27@email.com
6/19/2023 5:31:08,,name192,,,,,name165 name191 name100 name180,,0.0,mentor28@email.com
6/19/2023 5:34:01,,name42,,,,name21,name134,,0.0,mentor29@email.com
6/19/2023 5:50:03,,name203,,,,name46,name190,,0.0,mentor30@email.com
6/19/2023 6:21:19,,name37,,,,name81,name220 name92 name134 name182 name181,,2.0,mentor31@email.com
6/19/2023 6:40:46,,name152,,,,,name228 name144 name197 name125 ,,2.0,mentor32@email.com
6/19/2023 6:41:28,,name119,,,,name84,,,0.0,mentor33@email.com
6/19/2023 7:19:05,,name45,,,,name23 name27,,,2.0,mentor34@email.com
6/19/2023 7:20:24,,name127,,,,name62,name123 name231,,0.0,mentor35@email.com
