mentee_id	name	no_1	no_2	no_3	no_4	no_5	degree	mentor_response	email	note	mentor	match_note
M001	name0	A08	A43	A49	A26	A67	MSc		mentee0@email.com		A49	"single match, run 1"
M002	name1	B12	E01	E25	E20	E12	MSc		mentee1@email.com		B12	"select from 2, run 1"
M003	name2	A60	A46	A15	A39	E21	MSc		mentee2@email.com		A39	"single match, run 1"
M004	name3	E20	E18	E01	E12	E25	MSc		mentee3@email.com		E20	"single match, run 1"
M005	name4	E30	E01	E22	E17	E25	MSc		mentee4@email.com			
M006	name5	E30	E22	E25	E18	E35	MSc		mentee5@email.com			
M007	name6	E25	E27	E29	E18	E01	MSc		mentee6@email.com		E25	"single match, run 1"
M008	name7	D18	B24	D10			MSc		mentee7@email.com		D18	"select from 3, run 1"
M009	name8	A67	A43	A52	A66	A53	MSc		mentee8@email.com		A67	"select from 3, run 1"
M010	name9	E33	B39	E29	E27	B42	MSc		mentee9@email.com		E33	"single match, run 1"
M011	name10	E18	E25	E01	E12	E21	MSc		mentee10@email.com		E18	"single match, run 1"
M012	name11	E21	E27	E25	E13	E33	MSc		mentee11@email.com		E27	"single match, run 1"
M013	name12	B39	B01	B06	B18	B23	MSc		mentee12@email.com		B06	"select from 2, run 1"
M014	name13	E01	E25	E12	E20	E33	MSc		mentee13@email.com		E20	"single match, run 1"
M015	name14	A43	A67	A20	A26	A66	MSc		mentee14@email.com		A43	"select from 3, run 1"
M016	name15	E20	E11				MSc		mentee15@email.com		E20	"single match, run 1"
M017	name16	A01	A02	A03	A04	A05	MSc		mentee16@email.com			
M018	name17	E12	A47	A56	A49	E13	MSc		mentee17@email.com		E12	"select from 4, run 1"
M019	name18	E18	E20	E01	E25	E21	MSc		mentee18@email.com		E18	"single match, run 1"
M020	name19	E29	E33	E34	E32	E27	MSc		mentee19@email.com		E33	"single match, run 1"
M021	name20	B32	B48	B16	B01	B44	MSc		mentee20@email.com		B32	"select from 2, run 1"
M022	name21	A45	A07	A59	A38	A51	MSc		mentee21@email.com		A45	"select from 2, run 1"
M023	name22	A15	A39	A58	A66	A42	MSc		mentee22@email.com		A39	"select from 2, run 1"
M024	name23	A67	A43	A48	A06	A33	MSc		mentee23@email.com		A48	"single match, run 1"
M025	name24	E29	E30	E01	C13	E35	MSc		mentee24@email.com		E29	"single match, run 1"
M026	name25	D09	D02	D22	D13	D01	MSc		mentee25@email.com		D09	"select from 4, run 1"
M027	name26	E29	E01	A43	E18	E20	MSc		mentee26@email.com		E29	"single match, run 1"
M028	name27	A43	A67	A47	A38	A48	MSc		mentee27@email.com		A47	"single match, run 1"
M029	name28	A25	A23	A24	A26	A27	MSc		mentee28@email.com		A25	"select from 4, run 1"
M030	name29	E01	E25	E19	E22	E17	MSc		mentee29@email.com			
M031	name30	E01	E12	E18	E25	E20	MSc		mentee30@email.com		E20	"single match, run 1"
M032	name31	E20	E18	E25	E12	E01	MSc		mentee31@email.com		E20	"single match, run 1"
M033	name32	E29	E28	E05	E27	E25	MSc		mentee32@email.com		E28	"select from 2, run 1"
M034	name33	B01	C11	B42	B41	B57	MSc		mentee33@email.com		B01	"select from 4, run 1"
M035	name34	B32	B01	B39	B49	B08	MSc		mentee34@email.com		B08	"single match, run 1"
M036	name35	E12	E01	E20	E18	E13	MSc		mentee35@email.com		E01	"single match, run 2"
M037	name36	A36	A34	A37	A33	A04	MSc		mentee36@email.com		A36	"select from 2, run 1"
M038	name37	A16	A65	A31	A06	A07	MSc		mentee37@email.com		A16	"select from 3, run 1"
M039	name38	B39	B14	E08	B06	B34	MSc		mentee38@email.com		B39	"select from 2, run 1"
M040	name39	A46	A02	A61	A64	A65	MSc		mentee39@email.com		A61	"single match, run 1"
M041	name40	B53	D13	D09	D22	A18	MSc		mentee40@email.com		D22	"single match, run 2"
M042	name41	A43	A67	A48	A54	A46	MSc		mentee41@email.com		A67	"single match, run 1"
M043	name42	E28	E29	E27	E05	E10	MSc		mentee42@email.com		E10	"single match, run 1"
M044	name43	E20	E12	E18	E13	E01	MSc		mentee43@email.com		E20	"single match, run 1"
M045	name44	A43	A66	A67	A42	A52	MSc		mentee44@email.com		A52	"single match, run 2"
M046	name45	D13	D08	D09	D01	D02	MSc		mentee45@email.com		D13	"select from 2, run 1"
M047	name46	E35	E33	E34	E16	E32	MSc		mentee46@email.com		E34	"single match, run 1"
M048	name47	A05	A36	A54			MSc		mentee47@email.com		A54	"single match, run 1"
M049	name48	A18	A41	E20	A64	A15	MSc		mentee48@email.com		A18	"single match, run 1"
M050	name49	E27	E33	E16	E29	E20	MSc		mentee49@email.com		E27	"single match, run 1"
M051	name50	E01	E12	E13	E18	E25	MSc		mentee50@email.com			
M052	name51	A07	A16	A15	A31	A67	MSc		mentee51@email.com		A07	"single match, run 1"
M053	name52	A43	A67	A42	A66	A05	MSc		mentee52@email.com			
M054	name53	A67	A66	A43	A50	A49	MSc		mentee53@email.com		A50	"single match, run 1"
M055	name54	A60	A64				MSc		mentee54@email.com		A60	"select from 2, run 1"
M056	name55	A01		A07	A16	A10	MSc		mentee55@email.com		A01	"single match, run 1"
M057	name56	E29	E21	E08	E16	E27	MSc		mentee56@email.com		E16	"single match, run 1"
M058	name57	A30	A42	B55	A16	D01	MSc		mentee57@email.com		A30	"select from 3, run 1"
M059	name58	A43	A66	A67	A52	A53	MSc		mentee58@email.com		A66	"select from 2, run 2"
M060	name59	E01	E25	E27	E18	E12	MSc		mentee59@email.com		E27	"single match, run 1"
M061	name60	A22	A57	A18	A44	A54	MSc		mentee60@email.com			
M062	name61	E21	E20	E18	E25	E27	MSc		mentee61@email.com		E20	"single match, run 1"
M063	name62	C07	C11	C12	C03	C02	MSc		mentee62@email.com		C07	"select from 2, run 1"
M064	name63	E18	E19	E21	E22	E25	MSc		mentee63@email.com		E21	"single match, run 1"
M065	name64	E01	E25	E18	E12	E20	MSc		mentee64@email.com		E20	"single match, run 1"
M066	name65	E12	E01	E25	E18	E20	MSc		mentee65@email.com		E12	"single match, run 1"
M067	name66	A36	A56	A35			MSc		mentee66@email.com		A56	"single match, run 1"
M068	name67	E20	E25	E18	E12	E13	MSc		mentee67@email.com		E20	"single match, run 1"
M069	name68	A38	A44	A09	A06	A10	MSc		mentee68@email.com		A09	"single match, run 1"
M070	name69	B01	E26	B48	E01	E06	MSc		mentee69@email.com		B48	"single match, run 2"
M071	name70	E01	E13	E19	E18	E25	MSc		mentee70@email.com		E13	"single match, run 1"
M072	name71	A67	A43	A52	A24	A66	MSc		mentee71@email.com		A24	"single match, run 2"
M073	name72	E25	E12	E20	E01	E18	MSc		mentee72@email.com		E12	"single match, run 1"
M074	name73	E25	E29	E01	E12	E33	MSc		mentee73@email.com			
M075	name74	C20	E16	C28	B14	C03	MSc		mentee74@email.com		E16	"single match, run 1"
M076	name75	A43	A67	A26	A47	A20	MSc		mentee75@email.com		A26	"single match, run 1"
M077	name76	C14	A18	B34	B13	C01	MSc		mentee76@email.com		C14	"select from 4, run 1"
M078	name77	E18	E22	E21	E19	E20	MSc		mentee77@email.com		E20	"single match, run 1"
M079	name78	A07	A16	A08	A15	A01	MSc		mentee78@email.com		A07	"select from 2, run 1"
M080	name79	B46	D16	B59	B49	B48	MSc		mentee79@email.com		B59	"select from 2, run 1"
M081	name80	C28	C30	E13	E05	C17	MSc		mentee80@email.com		C28	"select from 3, run 1"
M082	name81	A55	A64	A60	A40		MSc		mentee81@email.com		A55	"select from 2, run 1"
M083	name82	E20	E01	E12	E06	E21	MSc		mentee82@email.com		E06	"single match, run 1"
M084	name83	E27	E21	E12	E13	E18	MSc		mentee83@email.com		E21	"single match, run 1"
M085	name84	A59	A45	A44	B58	A08	MSc		mentee84@email.com		A59	"select from 2, run 1"
M086	name85	D03	D12	D09	D05	D06	MSc		mentee85@email.com		D12	"single match, run 1"
M087	name86	E21	E12	E13	E18	E20	MSc		mentee86@email.com			
M088	name87	B15	B39	B45	B55	D04	MSc		mentee87@email.com		B55	"single match, run 2"
P001	name88	B39	B46	B47	B54	B17	PhD		mentee88@email.com		B54	"single match, run 1"
P002	name89	B12	B04	B07	B16	B53	PhD		mentee89@email.com		B12	"single match, run 1"
P003	name90	A09	A13	C26		A10	PhD		mentee90@email.com		A09	"single match, run 1"
P004	name91	B12	B04	B55	B38	B40	PhD		mentee91@email.com		B38	"single match, run 1"
P005	name92	A26	A23	A40	A33	A34	PhD		mentee92@email.com		A26	"select from 3, run 1"
P006	name93	B04	B16	B11	B32	B30	PhD		mentee93@email.com		B04	"select from 2, run 2"
P007	name94	E12	E01	A47	E25	E04	PhD		mentee94@email.com		E25	"single match, run 1"
P008	name95	A06	A56	A15	A58	A39	PhD		mentee95@email.com		A58	"single match, run 2"
P009	name96	E22	E18	A15	A57	A22	PhD		mentee96@email.com		E18	"select from 2, run 1"
P010	name97	B59	B40	B42	B36	B43	PhD		mentee97@email.com		B59	"select from 2, run 1"
P011	name98	A13	B07	B46	B53	B54	PhD		mentee98@email.com		A13	"select from 2, run 1"
P012	name99	C05	C04	C03	C10	C02	PhD		mentee99@email.com		C05	"select from 3, run 1"
P013	name100	E22	E01	E18	E25	E19	PhD		mentee100@email.com		E22	"single match, run 1"
P014	name101	B39	D20	B14	B21	B06	PhD		mentee101@email.com		D20	"single match, run 1"
P015	name102	B18	A41	C16	D14	D18	PhD		mentee102@email.com		B18	"select from 3, run 1"
P016	name103	A56	A47	E12			PhD		mentee103@email.com		A56	"select from 2, run 1"
P017	name104	A07	A45	A28	A30	A29	PhD		mentee104@email.com		A07	"single match, run 1"
P018	name105	D04	D06	B05	D05	B23	PhD		mentee105@email.com		D04	"single match, run 1"
P019	name106	B55	B40	B31	B38	B44	PhD		mentee106@email.com		B55	"single match, run 1"
P020	name107	D12	A30	A42	A07	D11	PhD		mentee107@email.com		D12	"single match, run 1"
P021	name108	B40	B44	B16	B11	B20	PhD		mentee108@email.com		B16	"single match, run 1"
P022	name109	B12	B16	B54	B17	B43	PhD		mentee109@email.com		B17	"single match, run 1"
P023	name110	B20	B11	B14	B07	B12	PhD		mentee110@email.com		B20	"select from 3, run 1"
P024	name111	D18	B24	D10	B09	B21	PhD		mentee111@email.com		D18	"select from 4, run 1"
P025	name112	B03	B02	B04	B01	B06	PhD		mentee112@email.com		B06	"single match, run 1"
P026	name113	D06	D04	B39	B38	B37	PhD		mentee113@email.com		D06	"single match, run 1"
P027	name114	E07	E09	E02	E28	E35	PhD		mentee114@email.com		E07	"single match, run 1"
