mentee_id,name,no_1,no_2,no_3,no_4,no_5,degree,mentor_response,email,note,mentor,match_note,mentor_name,mentor_email
M001,name0,A08,A43,A49,A26,A67,MSc,,mentee0@email.com,,A49,"single match, run 1",name46,mentor46@email.com
M002,name1,B12,E01,E25,E20,E12,MSc,,mentee1@email.com,,B12,"select from 2, run 1",name75,mentor75@email.com
M003,name2,A60,A46,A15,A39,E21,MSc,,mentee2@email.com,,A39,"single match, run 1",name36,mentor36@email.com
M004,name3,E20,E18,E01,E12,E25,MSc,,mentee3@email.com,,E20,"single match, run 1",name190,mentor190@email.com
M007,name6,E25,E27,E29,E18,E01,MSc,,mentee6@email.com,,E25,"single match, run 1",name194,mentor194@email.com
M008,name7,D18,B24,D10,,,MSc,,mentee7@email.com,,D18,"select from 3, run 1",name167,mentor167@email.com
M009,name8,A67,A43,A52,A66,A53,MSc,,mentee8@email.com,,A67,"select from 3, run 1",name63,mentor63@email.com
M010,name9,E33,B39,E29,E27,B42,MSc,,mentee9@email.com,,E33,"single match, run 1",name202,mentor202@email.com
M011,name10,E18,E25,E01,E12,E21,MSc,,mentee10@email.com,,E18,"single match, run 1",name188,mentor188@email.com
M012,name11,E21,E27,E25,E13,E33,MSc,,mentee11@email.com,,E27,"single match, run 1",name196,mentor196@email.com
M013,name12,B39,B01,B06,B18,B23,MSc,,mentee12@email.com,,B06,"select from 2, run 1",name69,mentor69@email.com
M014,name13,E01,E25,E12,E20,E33,MSc,,mentee13@email.com,,E20,"single match, run 1",name190,mentor190@email.com
M015,name14,A43,A67,A20,A26,A66,MSc,,mentee14@email.com,,A43,"select from 3, run 1",name40,mentor40@email.com
M016,name15,E20,E11,,,,MSc,,mentee15@email.com,,E20,"single match, run 1",name190,mentor190@email.com
M018,name17,E12,A47,A56,A49,E13,MSc,,mentee17@email.com,,E12,"select from 4, run 1",name182,mentor182@email.com
M019,name18,E18,E20,E01,E25,E21,MSc,,mentee18@email.com,,E18,"single match, run 1",name188,mentor188@email.com
M020,name19,E29,E33,E34,E32,E27,MSc,,mentee19@email.com,,E33,"single match, run 1",name202,mentor202@email.com
M021,name20,B32,B48,B16,B01,B44,MSc,,mentee20@email.com,,B32,"select from 2, run 1",name94,mentor94@email.com
M022,name21,A45,A07,A59,A38,A51,MSc,,mentee21@email.com,,A45,"select from 2, run 1",name42,mentor42@email.com
M023,name22,A15,A39,A58,A66,A42,MSc,,mentee22@email.com,,A39,"select from 2, run 1",name36,mentor36@email.com
M024,name23,A67,A43,A48,A06,A33,MSc,,mentee23@email.com,,A48,"single match, run 1",name45,mentor45@email.com
M025,name24,E29,E30,E01,C13,E35,MSc,,mentee24@email.com,,E29,"single match, run 1",name198,mentor198@email.com
M026,name25,D09,D02,D22,D13,D01,MSc,,mentee25@email.com,,D09,"select from 4, run 1",name158,mentor158@email.com
M027,name26,E29,E01,A43,E18,E20,MSc,,mentee26@email.com,,E29,"single match, run 1",name198,mentor198@email.com
M028,name27,A43,A67,A47,A38,A48,MSc,,mentee27@email.com,,A47,"single match, run 1",name44,mentor44@email.com
M029,name28,A25,A23,A24,A26,A27,MSc,,mentee28@email.com,,A25,"select from 4, run 1",name22,mentor22@email.com
M031,name30,E01,E12,E18,E25,E20,MSc,,mentee30@email.com,,E20,"single match, run 1",name190,mentor190@email.com
M032,name31,E20,E18,E25,E12,E01,MSc,,mentee31@email.com,,E20,"single match, run 1",name190,mentor190@email.com
M033,name32,E29,E28,E05,E27,E25,MSc,,mentee32@email.com,,E28,"select from 2, run 1",name197,mentor197@email.com
M034,name33,B01,C11,B42,B41,B57,MSc,,mentee33@email.com,,B01,"select from 4, run 1",name64,mentor64@email.com
M035,name34,B32,B01,B39,B49,B08,MSc,,mentee34@email.com,,B08,"single match, run 1",name71,mentor71@email.com
M036,name35,E12,E01,E20,E18,E13,MSc,,mentee35@email.com,,E01,"single match, run 2",name171,mentor171@email.com
