mentor_id,name,email,review_info,capacity_PhD,capacity_MSc,assigned_PhD,assigned_MSc,MSc: no_1,MSc: no_2,MSc: no_3,MSc: no_4,MSc: no_5,PhD: no_1,PhD: no_2,PhD: no_3,PhD: no_4,PhD: no_5,combined_mentor_id,verification_code,mentee_response,response_MSc,response_PhD,response_reasons,mentee_MSc,mentee_PhD,no_match_MSc,no_match_PhD,raw_capacity_PhD,raw_capacity_MSc
A01,name0,mentor0@email.com,True,2,1,4,3,"['M017', 'M056']",,,,['M079'],"['P077', 'P094', 'P126']",,,['P073'],,,,True,"['P126', 'M056']","['P077', 'P094']",,M056 ,P077 ,1,1,2,2
A02,name1,mentor1@email.com,True,4,0,5,2,,"['M017', 'M040']",,,,"['P085', 'P089', 'P133']",,['P060'],,['P051'],,,True,[],"['P089', 'P133', 'P060', 'P051']",,,P089 ,0,1,6,3
A03,name2,mentor2@email.com,True,2,0,2,1,,,['M017'],,,,,['P089'],['P091'],,,,True,[],"['P089', 'P091']",,,,0,0,1,0
A04,name3,mentor3@email.com,False,1,0,1,2,,,,['M017'],['M037'],,,,,['P091'],,,False,,,,,,0,0,1,0
A05,name4,mentor4@email.com,True,1,0,1,3,['M048'],,,,"['M017', 'M053']",['P047'],,,,,,,False,,,,,P047 ,0,1,1,0
A06,name5,mentor5@email.com,True,4,0,6,3,,,,"['M024', 'M038', 'M069']",,['P008'],"['P077', 'P128']",['P033'],['P058'],['P126'],,,True,[],"['P128', 'P077', 'P033', 'P126']",,,P128 ,0,1,1,0
A07,name6,mentor6@email.com,True,3,3,6,5,"['M052', 'M079']",['M022'],['M056'],,['M038'],['P017'],['P075'],['P126'],"['P020', 'P033', 'P077']",,,,False,,,,M052 M079 ,P017 ,2,1,3,3
A08,name7,mentor7@email.com,False,2,0,1,3,['M001'],,['M079'],,['M085'],,,['P058'],,,,,False,,,,,,0,0,2,0
A09,name8,mentor8@email.com,False,3,2,4,1,,,['M069'],,,"['P003', 'P073', 'P082']",,,['P065'],,,,False,,,,M069 ,P003 ,1,1,3,2
A10,name9,mentor9@email.com,True,1,0,4,2,,,,,"['M056', 'M069']",['P033'],,"['P075', 'P128']",,['P003'],,,True,[],['P033'],,,P033 ,0,1,2,0
A11,name10,mentor10@email.com,True,1,0,4,0,,,,,,['P075'],,,,"['P073', 'P077', 'P128']",,,True,[],['P075'],,,P075 ,0,1,1,0
A12,name11,mentor11@email.com,False,2,0,5,0,,,,,,"['P058', 'P128']",['P033'],['P077'],,['P065'],,,False,,,,,P058 ,0,1,2,0
A13,name12,mentor12@email.com,False,1,2,4,0,,,,,,['P011'],['P003'],['P084'],,['P058'],,,False,,,,,P011 ,0,1,1,2
A14,name13,mentor13@email.com,False,2,0,5,0,,,,,,,['P073'],,"['P126', 'P128']","['P033', 'P075']",,,False,,,,,P126 ,0,1,2,0
A15,name14,mentor14@email.com,True,3,1,7,5,['M023'],,"['M003', 'M052']",['M079'],['M049'],['P080'],"['P058', 'P067']","['P008', 'P009', 'P073']",,['P082'],,,True,"['P058', 'P073']","['P080', 'P009', 'P082']",,P073 ,P080 ,1,1,1,1
A16,name15,mentor15@email.com,False,0,3,1,5,['M038'],"['M052', 'M079']",,"['M056', 'M058']",,,['P126'],,,,,,False,,,,M038 ,,1,0,0,3
A18,name16,mentor16@email.com,True,3,1,4,4,['M049'],['M077'],['M061'],,['M041'],,,['P085'],['P051'],"['P109', 'P133']",,,True,['M049'],"['P109', 'P051', 'P133']",,M049 ,,1,0,2,4
A19,name17,mentor17@email.com,True,2,0,2,0,,,,,,,"['P051', 'P060']",,,,,,True,[],"['P051', 'P060']",,,P051 ,0,1,1,0
A20,name18,mentor18@email.com,False,1,1,1,2,,,['M015'],,['M076'],['P113'],,,,,,,False,,,,,P113 ,0,1,1,1
A22,name19,mentor19@email.com,True,0,0,1,1,['M061'],,,,,,,,,['P009'],,,True,[],[],,,,0,0,2,0
A23,name20,mentor20@email.com,True,1,1,1,1,,['M029'],,,,,['P005'],,,,,,True,['M029'],['P005'],,,,0,0,3,3
A24,name21,mentor21@email.com,False,3,3,0,2,,,['M029'],['M072'],,,,,,,,,False,,,,M072 ,,1,0,3,3
A25,name22,mentor22@email.com,True,0,1,0,1,['M029'],,,,,,,,,,,,True,['M029'],[],,M029 ,,1,0,0,2
A26,name23,mentor23@email.com,False,2,2,1,4,,,['M076'],"['M001', 'M015', 'M029']",,['P005'],,,,,,,False,,,,M076 ,P005 ,1,1,2,2
A27,name24,mentor24@email.com,True,0,1,0,1,,,,,['M029'],,,,,,,,True,['M029'],[],,,,0,0,10,10
A28,name25,mentor25@email.com,True,2,0,2,0,,,,,,,['P065'],['P017'],,,,,True,[],"['P065', 'P017']",,,,0,0,1,0
